,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,groove putt record digging downhill straightaway infield dug plugging mile,hole track,teacher maple witch rose temple pirate,tower wind berry bond spy cloak star chair jet,water ground racket spike fence drill spring,air
1,drummer quintet bagpipes trumpeter bagpipe vocalist guitarist trombonist bassist euphonium,band bugle,model scientist light nail wind whip,mount cycle cliff hood king pass bottle slip kangaroo,leprechaun board net school paste compound olive,hand
2,monarch despot tyrant emperor sultan chieftain autocrat caliph conqueror sovereign,eagle ruler,rabbit paper screen tick round beat,eye scorpion foot theater plastic ball mammoth board palm,worm tie grace angel duck shark bill,tooth
3,mayonnaise condiment caramel cheesecake cheese margarine sauce marmalade chili confectionary,ketchup chocolate,belt shot diamond spy alien giant,ivory code pass water wind angel bear draft torch,phoenix web temple pie air buck worm,dwarf
4,teeth bone follicle jawbone cranium scalp skull femur cancerous deputy,cell head tooth,server hospital capital game log,pants pitch pyramid disease horseshoe piano palm crown water,pipe wave log pound poison theater center,screen
5,swashbuckling yachting seafaring craze bootlegging billiards bowling anarchic piracy titanic,pirate revolution mammoth cricket circle,tick pass well,well wake button ground cycle march witch tower knight,horn buffalo ambulance point straw bomb bond,temple
6,upheaval rebirth uprising cyclical epoch stagnation democratization evolution crisis repression,cycle revolution,note cook witch iron china wall,yard mass park port giant genius robot whip switch,strike bug chick pistol cliff screen game,file
7,falcon osprey raptor buzzard heron vulture gull derrick pelican bulldozer,hawk crane,mail press ray switch piano poison,shot suit unicorn laser part washer tail octopus circle,sink penguin needle oil turkey mug charge,ball
8,extinguish burn escape ignite douse flew throw knock parry firing,fire fly spell duck,diamond racket canada slug,screen honey court king cricket satellite train chick lemon,bugle boom police sock wind film bow,microscope
9,led ultimately experience career pursue affect crucial vital lasting health,lead life,bomb head shot organ arm poison,knight pistol fan crown chick square telescope angel table,bat scientist bed missile ring brush ball,yard
10,hub infrastructure slowdown gateway transshipment maritime shipbuilding inland terminal outbound,port boom,square pistol chick crash track stadium,bar unicorn straw fire bottle sink leprechaun iron buck,kiwi change cold log contract agent ray,roulette
11,wristband timepiece strap bracelet personalize annotate eyewear buy Cartier bookmark,tag watch,whale port cycle ivory pool beach,note fish jam witch force press chick post thumb,star hospital game tag log link satellite,stream
12,seat assistant position director deputy helm executive couch seated arm,chair head spot,apple limousine stream genius drill,spike cold bow fly honey mass post net china,bill ring cover bug spine tap suit,buffalo
13,submit entry delete register publish check follow read comment write,post log,water suit bank shadow oil round,bed dinosaur cell canada button string hook vacuum mass,witch box circle line rose maple pants,cricket
14,register submit comment write update address site template forum link,post code,lion jack film mammoth flute glass,bill head pool china circle server paste scorpion gold,lion casino conductor pirate boom forest brush,kiwi
15,journey excursion jaunt trek stopover tour voyage pilgrimage itinerary ride,cycle trip,wave paper fish litter undertaker rock,knife code olive bed thumb piano well leprechaun web,light fly copper table organ screen hawk,scorpion
16,chilly damp humid climate warmer chilled insulation soggy winter frigid,gas cold green ground,octopus paste tooth genius,ghost doctor calf maple angel line unicorn jack strike,game rose chick gas pipe paste compound,jet
17,statement estimate paragraph reference report addendum discrepancy reiterate preface summarize,note figure,lemon hospital robin horseshoe cross buck,superhero tablet wake ghost jack pole beach litter wind,day agent pound whip date deck honey,luck
18,mauve maroon chartreuse pinkish hued beige brownish lime khaki reddish,green orange,march bolt king part teacher cell,board car train cast cell life pass trunk crash,genius lawyer tag dragon boom ivory wall,circle
19,weapon launcher nuke strike hypersonic counterattack torpedo ballistic projectile thermonuclear,spell missile,canada octopus roulette screen ring cast,fence bed rock stadium pool microscope undertaker plane jam,ring pole pass belt bugle pin hand,seal
20,billionaire tycoon socialite businessman playboy espionage financier industrialist wealthy aristocrat,spy millionaire,web log oil grass cell palm,alien disease strike cold fire rose ruler belt cook,note suit game day duck capital calf,paper
21,supersonic detonation hypersonic torpedo ballistic explosion ordnance interceptor munitions nuke,boom missile,pin server ice cook tooth staff,degree cold honey club pyramid worm staff triangle bond,line block play mouse needle bell kangaroo,arm
22,wield banish baleful obscurity talisman sorcerer thrall gloom shrouded cloaked,spell shadow,spring ruler jam foot car mouth,vet honey screen rabbit charge cold date cap beat,draft force helicopter stick chair spell luck,wall
