,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,clarinet flutist oboe violin flautist soloist saxophone harp trumpet cello,lead flute,berry web tower bed wind ray,belt stadium game jam ground vet beach maple worm,leprechaun straw mass tag night cliff fence,dinosaur
1,postal courier postmaster postage undeliverable correspondence undelivered telephone addressee unsolicited,mail,light bow iron field crane hawk wake,lock mug screen link kiwi paste wave plastic soul,pilot spell theater bolt march arm poison,bug
2,time return forward coming faith finally beginning hope beyond rest,back grace state,bugle ambulance shoe dinosaur sock,knife ketchup pistol eagle palm lion washer shadow spike,marble missile post foot bottle pin soldier,horseshoe
3,copter spaceship aircraft unmanned gyroscope propulsion driverless infrared simulator blimp,helicopter robot laser,tap capital witch seal bank,glove chest forest needle straw police teacher pool buck,night boom bank block vet telescope bow,bottle
4,glide landing skidding chute gliding sliding rappel climb tumbling catapult,parachute ground slip,penguin heart bat school port,doctor cricket hole cloak nurse orange dwarf calf match,cliff life satellite belt cap contract snow,oil
5,walnut mahogany cabinetry rosewood limestone millwork wainscoting alabaster hardwood quarried,marble maple,press web spike swing millionaire mouse,air jet thief stick watch band lemon dance fire,duck ruler king server yard diamond school,cross
6,memoir autobiographical protagonist adaptation fictional trilogy screenplay redemptive retelling romance,life novel,air dwarf dinosaur pupil pitch wind,pirate whip track deck chick shop park honey eagle,buck seal kiwi skyscraper crane cycle hood,paper
7,comedian comedy comedic actor funnyman actress comedienne heartthrob parody screenwriter,comic star,organ seal battery apple shadow note,tie port water light fair bugle pool snow superhero,arm king triangle bill draft ghost cloak,flute
8,nibble gnaw tic nudge uncheck gnawing bite chew bitten infect,tick,hospital torch police crash board agent knight,opera cotton cricket eye chick lab fighter club laser,plot suit crash box mouse pilot stock,card
9,overlord despot extraterrestrial usurper tyrannical despotic tyrant invader emperor dictator,ruler alien,whip mouth oil marble park straw,pilot hook thumb stick band cell point honey wave,bill jam cliff teacher mouse ivory stadium,park
10,operate radar access equipment secure repair launch location sensor space,shop satellite lock ground,heart vet buffalo mole,swing trunk lion fish yard china teacher note whale,dance card soul genius oil figure stock,witch
11,marsupial koala wallaby dingo possum croc opossum mammal lemur orangutan,kangaroo platypus,bar life compound turkey sink wave,sink pole buck unicorn pin compound bolt nurse tablet,horse snow vacuum time shop worm shot,figure
12,chiffon frilly lace blouse attire trousers skirt sari frock sequin,dress cotton carrot,crown check horseshoe net telescope,unicorn bolt post button bond cold arm cotton model,olive trunk calf state dinosaur millionaire pitch,buffalo
13,almond apricot syrup hazelnut fruit grape rhubarb raisin peach pomegranate,berry honey,boot bat stick lock hood water,penguin night charge hook organ shark ray net concert,strike chest part chick hole port pound,needle
14,emphasize fact context regard fundamental therefore tone portion sense evident,sound part note,spy rabbit robin beach cell,ship concert leprechaun luck beat tick octopus track pilot,screen rose triangle undertaker horse washer fall,chair
15,drumming jazz music choir vocalist drummer quintet orchestra troupe bluegrass,dance band bugle,thief forest bill apple bottle,web diamond pistol satellite unicorn pirate penguin server bat,horn jack scorpion straw bolt spot mail,tooth
16,tunic shawl robe brooch waistcoat scarf turban blouse tassel velvet,gold cloak belt button,board life shot cell,bridge switch deck needle alien engine suit litter millionaire,king robot tie knight mail slug net,center
17,observatory steeple reflector lantern spire scaffolding gantry floodlight telescopic pylon,torch pole telescope skyscraper,string lock bark comic,bar copper scientist whip olive tablet park point bomb,berry washer fair web gas missile revolution,poison
18,tarantula leopard serpent falcon crocodile tortoise lizard snake reptile cobra,crane scorpion lion,hole berry sound server bolt,strike unicorn teacher center night sound oil undertaker swing,well log ice pumpkin genius air spring,paste
19,raisin cacao Jatropha husk persimmon gnarled legume sandalwood eucalyptus zealot,palm nut,string police crash fan litter fighter,tube needle beach pool disease web battery fork hospital,car plastic thief stream ball chest pants,fish
