,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,amendment repeal legislation veto protest oppose union federal legislature moratorium,strike bill palm,model gold platypus tick root,strike gold palm root platypus tick bill model car,theater unicorn torch ring file whip,film
1,amendment repeal legislation veto protest oppose union federal legislature moratorium,strike bill palm,model gold platypus tick root,strike gold palm root platypus tick bill model car,theater unicorn torch ring file whip,film
2,amendment repeal legislation veto protest oppose union federal legislature moratorium,strike bill palm,model gold platypus tick root,strike gold palm root platypus tick bill model car,theater unicorn torch ring file whip,film
3,amendment repeal legislation veto protest oppose union federal legislature moratorium,strike bill palm,model gold platypus tick root,strike gold palm root platypus tick bill model car,theater unicorn torch ring file whip,film
4,amendment repeal legislation veto protest oppose union federal legislature moratorium,strike bill palm,model gold platypus tick root,strike gold palm root platypus tick bill model car,theater unicorn torch ring file whip,film
5,amendment repeal legislation veto protest oppose union federal legislature moratorium,strike bill palm,model gold platypus tick root,strike gold palm root platypus tick bill model car,theater unicorn torch ring file whip,film
6,amendment repeal legislation veto protest oppose union federal legislature moratorium,strike bill palm,model gold platypus tick root,strike gold palm root platypus tick bill model car,theater unicorn torch ring file whip,film
7,amendment repeal legislation veto protest oppose union federal legislature moratorium,strike bill palm,model gold platypus tick root,strike gold palm root platypus tick bill model car,theater unicorn torch ring file whip,film
8,amendment repeal legislation veto protest oppose union federal legislature moratorium,strike bill palm,model gold platypus tick root,strike gold palm root platypus tick bill model car,theater unicorn torch ring file whip,film
9,amendment repeal legislation veto protest oppose union federal legislature moratorium,strike bill palm,model gold platypus tick root,strike gold palm root platypus tick bill model car,theater unicorn torch ring file whip,film
