,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,legislature federal constitutional commissioner governor,court draft state,tooth cold pipe cycle pound,light mail code court match shadow jack band soul,cliff mouth row capital pound buffalo diamond,stock
1,spatula trowel despot tyrant chisel,brush ruler,button dance log beat bell card note,ring cricket draft novel fly gas star battery,track board bug scientist hole block nurse,embassy
2,chauffeur hearse motorcade taxi taxicab,ambulance limousine,palm stadium band dragon cliff spot watch,kiwi berry trunk wake row satellite ghost grace,beat head line thief smuggler track pitch,wind
3,click listen verify select activate,check button watch,whale stadium pyramid bank organ,ivory post trip tie screen skyscraper turkey spell fork,parachute square missile agent line figure draft,crash
4,pianist accompanist violin saxophone cello,piano well jam,palm diamond tooth spine shadow hole,button mass cap calf plate plane ray hood,dress worm arm switch church pie piano,night
5,consecutive sideline team eight varsity,row field,teacher whale fish pirate oil slip,mouse cycle ring death mount link concert log king,fire nurse needle bug degree card lemon,grass
6,doctorate diploma undergraduate bachelor graduate,degree,tie tower cricket whale strike hook bugle,lawyer racket ruler stock cover rabbit drop copper hospital,point pole belt chair queen plot crown,change
7,educator tutor lesson taught waking,teacher wake,bar calf vacuum hook seal pound smuggler,witch shop limousine needle dinosaur box apple file,horse cross bugle cap rose concert superhero,police
8,flame preheat ladle preheated sear,torch pan,charge mouth bottle orange time mouse fighter,phoenix laser trunk carrot spine apple skyscraper leprechaun,pipe compound track mole theater pass mug,chocolate
9,forward ahead days coming since,time back,crown plate leprechaun pumpkin piano bridge ruler,undertaker china stock link watch paste organ octopus,bar press missile bark mail star staff,pool
10,abdomen sternum neck pelvis torso,chest spine,sink theater soldier fish trip wave fighter,shadow lion copper robin mount revolution pitch genius,pit iron wall fork bugle cotton circle,bond
11,humpback dolphin whaling porpoise shark,whale kiwi,vacuum conductor chair church seal mail witch,robin worm lion line track date rock leprechaun,pan post ketchup pilot pants olive pipe,cell
12,counterattack stoppage protest attack struck,strike wave,fork cold foot cotton bear needle post,car orange spike palm dance jet green cast,leprechaun theater rabbit mouth wind vet pan,tooth
13,larva larvae snail maggot cockroach,mole worm slug,grass cotton change china contract bow,snow telescope box play thief laser doctor seal,dwarf pass ball crash deck ivory ground,smuggler
14,infantryman deserter serviceman paratrooper policeman,smuggler soldier,fair grass paper pit heart date apple,night beach mouth sock ship marble row fish,carrot eagle spot king parachute soul satellite,press
15,diagnosis tuberculosis pathology microscopy infection,microscope disease,fan star table beat marble cook litter,sound cycle maple horn flute pole tag chocolate,rose press berry lawyer octopus scorpion chest,slip
16,gambling bullion baccarat platinum keno,casino gold canada,racket yard space needle pound,grass mug whale nurse wave telescope dance battery wind,drop crash conductor bond swing net cricket,brush
17,concentric flange radius diameter rivet,bolt circle,concert spy queen shark staff comic,bell ambulance draft soul model life stock beat lock,cliff slug conductor copper mount block gas,princess
18,dancing waltz thumping sing stomp,beat dance,bolt bed rose root draft skyscraper card,gold stock satellite change model smuggler flute plastic,bolt microscope forest post nut cell round,cap
19,attorney solicitor counsel barrister litigator,lawyer undertaker grace,bolt microscope carrot bomb mug,oil pilot club china log police soldier lion limousine,rabbit figure spy foot mole temple ring,kangaroo
20,rocket interceptor ballistic nuclear munition,missile,copper tooth fence octopus back bridge bond film,wake degree trunk plot pitch orange paste alien,band wave pistol green kangaroo bat honey,line
21,week month year hour period,time day,pyramid board robot shadow skyscraper hole,crane horse parachute bugle night cast eagle police stick,plate field octopus game king fall hood,carrot
22,attire frock gown costume blouse,dress,bug tick block grace cook state life,ambulance bolt line boom fly nurse shot bond paste,stick ketchup nut undertaker comic bark fish,poison
23,wrench screw pin turnbuckle flange,ring bolt,platypus sock park bridge rabbit comic,cotton ivory octopus cook bug chest apple maple march,tap platypus mail roulette missile straw doctor,state
24,aircraft airliner tanker barge freighter,crane jet,string mouth water spine horse penguin nut,root carrot knife scale staff washer sound dragon,lab mole china wave swing telescope plastic,duck
25,baccarat wagering keno roulette winnings,fair casino,alien racket hospital kangaroo marble police cook,web point lawyer novel mouse well concert strike,capital button string whip gas bill rock,pool
26,villain superman comic mermaid whale,shark superhero,mouth tower space track battery disease draft,grass slug kiwi pound cricket pirate train whip,missile drop well net copper vacuum turkey,stock
27,cheetah hippo gorilla hyena giraffe,penguin lion,mammoth brush pyramid heart bank key space,plastic bug ice wind doctor litter iron mouth,shoe mail tag capital green parachute marble,temple
28,sender forwarding postal via remittance,mail stream,button novel princess fighter cast horse jack,maple pan mount trip dinosaur fly theater court,spike bomb microscope bow plate temple light,beat
29,newsprint printed ink pencil pamphlet,mug paper,parachute giant pool canada shark witch shot,lab pass horseshoe cold track bar copper play,pyramid yard theater log honey tooth poison,hood
30,mall plaza showroom Galleria emporium,shop center tower,worm whip seal cloak thief ruler,pan key pool cricket mole nurse washer leprechaun,whip slug penguin tie grass spy concert,drill
31,debit chip swipe play compatible,stick card,fair jet engine vacuum pilot train pitch,head slip nurse mug slug tail alien capital,root cast gold bug file part kangaroo,plane
32,acre hectare story promenade marina,park plot,glove washer mole model eye boot fork,trunk dinosaur horse draft field wall witch berry,bar temple force chest millionaire ground strike,capital
33,bonnet cowl muffler grille balaclava,robin hood,hospital microscope disease laser wave shot plane,lead orange game root concert buffalo vet pole,bow kangaroo water wind marble shark bottle,hawk
34,uprising revolt industrialization supercharger alternator,revolution engine,tick pants file bat horse box post,ray sock hole concert stream iron scientist canada,needle bridge satellite court parachute hospital arm,grace
35,chew wallaby almond possum koala,tick nut bottle kangaroo,charge cross beat marble part,octopus ruler deck paper microscope star genius unicorn,shadow needle fork dance engine tower day,ring
36,tuberculosis pneumonia sepsis malaria malnutrition,hospital disease,strike dragon duck trip part compound,fly tail pistol fair yard figure pit trip arm,string game organ spell leprechaun car field,spine
37,kilo ounce kilogram pence gram,pound bell,bolt degree chair spring thief revolution,swing conductor bug tail fly buck crash horn string,well star chocolate bank play lead tablet,spider
38,monastery citadel synagogue headquarter mosque,capital temple,alien horseshoe olive pin lock poison,telescope teacher tube tail switch spike moon leprechaun iron,bear bill back forest crash dragon drop,ghost
39,dragon chimera leprechaun fairy mythical,unicorn,charge cross foot bridge root thief battery gas,string card rose horseshoe disease beach tube turkey,drop concert mail port day palm tick,check
40,pylon lamppost mast bollard guardrail,pole,chocolate forest pie band rock pan horn fighter,crown scale wake web staff match check charge,lead spine agent snow jam bottle dance,mouse
41,flip rotate crossbar adjust kick,switch ball,car theater bomb agent dinosaur police march,mouth litter shark key lion crown chocolate string,capital life model film hook bill temple,mass
42,garb disguise attire overcoat capes,cloak suit,school lead star fish link satellite,knife thumb gas plate lab pool wall dwarf bug,key glass ball missile ghost mole princess,brush
43,gloss illuminating gel coating illuminate,compound light wall nail,pie track knight stock satellite,temple missile wave limousine sock jack iron bank,dwarf cover yard plane cook comic shot,phoenix
44,chilly dimple abscess pimple pasty,hole cold mole,hawk tablet code dinosaur mouse,state organ lock fair spell parachute wind bug litter,shark hood roulette space china pit dwarf,bark
45,sawdust charcoal spit moisten acrid,brush straw mouth,pin bank bill bed king life,tooth strike track pin turkey screen rock swing,foot vet platypus bond stadium plot thief,film
46,demise rise dying collapse tragic,fall death,server pie pit sock pilot water pan,fire lock line star mouse marble cell disease,shop concert wall tooth vacuum shadow honey,ball
47,gambling bingo postal gaming keno,casino mail,tooth pumpkin marble robin bed bat,crash pass scientist round mole belt park slug poison,press pie ball fork straw stock robot,ring
48,reasonable honest verify sure unbiased,fair check,racket pistol pool chair snow ghost,palm hood agent head row field pass green bond,horse yard stadium poison organ car tag,laser
49,custard pastry casserole chowder roast,pumpkin cook pie,copper thumb grace canada bond opera,switch sound green pin beach wall turkey disease,unicorn ship whip server model string platypus,angel
50,supervisor technician faculty department clinic,check staff lab,agent telescope cliff ghost unicorn spell,point engine embassy missile mammoth dress net theater,shark dinosaur cold pirate key fire pool,log
51,pecan zucchini raisin tomato potato,nut pumpkin,server heart day ring slip opera,pole figure temple buffalo flute cloak microscope boom chocolate,hole card check novel gold china net,limousine
52,tutor educator lecturer student instructor,luck teacher,rose crane cliff cloak port jam,spring sock block washer paste iron stadium needle alien,china nut wall degree tie pitch doctor,pipe
53,dancing night evening nights music,day king bar bell dance,whale dwarf nurse,mammoth pants battery skyscraper pilot ball plate lemon bow,school laser pitch tube chick queen robot,eagle
