,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,leg shoulder wrist elbow hitter,plate spot arm,pumpkin mole whale phoenix chocolate,pilot hook head part eagle bell mass fair staff,rose piano march cold bear buffalo missile,model
1,invisibility veil disguise robe shroud,cloak,port mouth star lead scale skyscraper stick,light spot knife bark scientist heart plane soul olive,plastic wind crash dress whale jam superhero,beach
2,warm winter frozen chilled chilly,turkey green cold,mole needle hawk buck bomb vacuum,heart brush piano field strike comic lemon chest,mouth pole pumpkin square tag web ketchup,phoenix
3,wing adjacent headquarters bases perimeter,ground center,rose card whale rock torch ivory,gas pirate queen fish stick dance stream beach soul,film watch fly limousine conductor pit boot,track
4,ambassador consul consular consulate diplomat,embassy,drop line hawk spot code ball pound,date pole temple crane night beat bark train rock,state palm center contract horn oil smuggler,honey
5,dessert cocoa caramel toffee cheesecake,chocolate whip,change kiwi theater teacher switch mass,wall racket slip green cloak bark model check thumb,deck microscope helicopter root pan string fan,luck
6,possum koala camel marsupial wallaby,train kangaroo mouth,rose star card field marble,port lead washer track china ketchup casino scale pants,shadow missile paste film king code octopus,genius
7,nose throat spit nostril anus,mouth hood hole,yard pistol kangaroo file figure,compound tail pyramid pipe lawyer club cloak link nail,whip unicorn mouse eye carrot lead night,net
8,click cursor uncheck toggle selectable,tick button,crown honey tower fair novel center sound,stadium code millionaire crown wake log china beat,green lawyer buffalo marble parachute film cook,seal
9,vital crucial instrumental peripheral pivotal,key organ,button degree horse log bark paste phoenix,teacher cook china green pound fly beach school,helicopter cricket contract carrot soldier tube server,lawyer
10,listening acoustic melody loudness catchy,track sound,conductor brush cover phoenix alien parachute,seal boot fan swing cast film cell vacuum tick,capital night part court train pit slip,net
11,lounge seated settee recliner bistro,chair bar,copper dress scientist dragon moon buck,plate genius boot calf scale slip pipe shoe embassy,cycle tag turkey nurse cap opera link,straw
12,york footwear sportswear orthotic sneaker,canada shoe,beach robot engine pole horseshoe drill,beat thief fish tube snow pilot bolt cliff wind,stadium crash spider spine undertaker lion circle,spy
13,reset disable deactivate latch toggle,lock switch,ground film temple pit soul part,fan pyramid port square wave embassy rabbit light draft,figure bond card dinosaur wind maple iron,capital
14,kernel binary syntax identifier prefix,code root,film hook mammoth bomb pants queen,agent lock spy embassy snow yard crash square tower,octopus leprechaun hand tie apple death ship,net
15,cinnamon cabbage celery candied fennel,carrot bark,octopus button belt whale key giant ambulance,track circle tower fence space lab foot tie,force telescope jam apple fish witch game,drop
16,blackjack robber gambler pickpocket swindler,roulette thief,crown press olive needle pyramid cover shadow,casino poison eye link apple bark duck copper,ball lemon queen ambulance jam battery space,dance
17,koala jellyfish squid cuttlefish marsupial,platypus penguin octopus,knife needle nurse fence tail watch,rabbit lead agent bond horn spell thief hook,pool pyramid millionaire angel stadium mug tick,casino
18,launcher spaceship unmanned copter hypersonic,robot missile helicopter,bill link march tube bell,play net match fan cover pit nail dice robin,cloak sock spider brush ivory pitch fair,embassy
19,spinal vertebra vertebrae lumbar pelvis,spine tube,game kiwi lab pirate space match,skyscraper church pipe pilot tooth wake knife port olive,millionaire foot revolution pants forest mammoth comic,cotton
20,lens endoscope optics magnification microscopy,mount microscope,crown jam plane plot round witch,boom iron spot limousine jack space maple dinosaur ring,turkey glass needle agent knight whip bark,bar
21,sketch manga superhero cartoonist comedic,comic figure,ketchup olive fighter stadium round gas ship,carrot pound contract fair life root whip turkey,dwarf bear log line strike kiwi diamond,king
22,snake frog cockroach viper tarantula,whip duck scorpion,port pilot school church alien,contract mount whale bark post swing ketchup vet square,horn turkey disease gold honey tie code,club
23,important specific critical vital crucial,key cell,kiwi moon dwarf bugle smuggler shark,contract beach bottle maple bridge chick berry microscope star,king center honey grass park tick bomb,ice
24,silk wool polyester newsprint jute,paper cotton,mouth stream log cold bugle bear,port water lawyer alien ruler row police court death,yard cover scorpion shoe lead bat scientist,poison
25,charger ignition recharge flashlight alternator,torch battery,pilot tie robot server seal witch,disease pupil line drill shoe head train pound press,fighter skyscraper mammoth ring soldier battery police,copper
26,cleat latch flange fastening fastener,bolt glove,green staff cold spring file part,buck laser march crown jack boom orange thumb beat,cast superhero check spell shark teacher swing,bond
27,bathroom wash wounds discolored abdomen,nail trunk light chest sink,compound skyscraper unicorn link,genius pin glove net switch chair pirate ray,bottle gas pistol club life capital crane,point
28,juniper laurel dogwood raven pomegranate,bear berry phoenix,pilot light gas parachute piano,drill spike ivory pool web draft chest ship lead,whale carrot bat cross doctor scale drop,shop
29,bread pizza dessert cheesecake custard,pie,microscope washer knife lab belt mammoth glass spell,chocolate hole hook robin spider pipe nut pupil,maple honey racket post life gold berry,suit
30,metal steel aluminum titanium corrugated,iron plastic,ground grass turkey press horseshoe witch,pie apple space soul conductor swing unicorn cell square,knight brush buffalo stock washer lead tick,shot
31,heat heavy dry warm chilly,light cold plate stick,chest superhero scale paper,tooth space star vet octopus press stock mole fly,grass string torch pupil piano spot life,genius
32,mate deserved prob reinstall kudos,luck boot,chest press sink theater laser pan eagle,shop leprechaun cold string boom palm brush horseshoe,stick spike bed trunk shot mouse unicorn,spring
33,pianist accompanist choreographer soloist troupe,train theater conductor,chest mole eye pyramid foot,tie plastic pitch lion stream net telescope crash paper,thumb olive church triangle time bear swing,space
34,lick pheasant fowl quail curried,whip duck honey,grass spy snow triangle drill,crane pirate time pumpkin bottle part cloak charge microscope,bomb telescope nurse ivory block water plastic,berry
35,drain glue sealant spout scrape,nail plastic sink,undertaker band bond horseshoe grace cycle,piano part night change shoe swing pupil fire,ruler scientist cap forest revolution tag octopus,novel
36,monster behemoth serpent goliath leviathan,dragon eagle giant,pipe slip ghost bridge web princess,game cover pirate penguin charge fall sound block,vet belt grass bug air limousine star,ivory
37,sternum abdomen shroud dagger breastbone,chest cloak,park club green moon pool ball bottle,shoe agent princess orange nurse rabbit lock deck,wave smuggler boot pole bark screen mouth,dress
38,thoroughbred Thoroughbred equestrian stallion equine,field club horse,wall boom scorpion ambulance parachute,beach ruler pants bomb shadow spot spy laser telescope,day moon princess battery litter plot mouse,port
39,fight fighting striking stoppage brawler,fighter strike,square cap brush pan bell bow princess,fire ghost file witch church capital laser head,racket hole canada drill gold ground nail,scorpion
40,silver platinum onyx bullion jade,gold ivory,chest point string note line plane rabbit,game ambulance disease figure plate grace worm sound,copper spike fall state mass giant hood,pilot
41,zinc molybdenum manganese antimony sulphide,copper mole,shot spy green model ruler pupil shadow,button robot boom fence queen helicopter diamond well,revolution shop church bolt moon torch forest,novel
42,fencing guardrail railing lamppost bollard,fence pole,bank thief pirate nurse key part,fall soldier strike knight pool stock forest bow cold,pirate ice plate robot draft angel microscope,model
43,repertory libretto symphony oratorio operetta,opera,park water button carrot washer tooth glass,bow kiwi phoenix soldier robin calf rabbit game cook,heart mount card temple paste fence ground,bed
44,platinum opal emerald sapphire carat,crown diamond,knight eye pirate cross revolution angel,film doctor bugle stadium chair piano dragon mammoth table,washer pants buffalo jet change log shoe,glove
45,screw latch keyless pry ratchet,drill lock,deck dice play kiwi jet robin,circle unicorn pie net alien horseshoe post witch hospital,march mammoth cell rabbit cook fork cover,film
46,laundry compressor Frigidaire gasket flange,washer canada,mug drop organ stream honey lead train,swing telescope thief dice novel knife poison battery,olive ivory racket whip eye space head,buffalo
47,power battery electric charging relay,iron lock torch charge fan,spider shadow racket,wave drop fire glass bark leprechaun alien sock tablet,pants jet march circle snow scale file,straw
48,stay shorts trousers readjust pant,change pants spring watch,vacuum canada cricket ambulance,octopus berry fly wave hole lead maple organ novel,board sound horn cold bat car track,shadow
49,celebrate protest rally occupy commemorate,china march bear,green flute ice fish plate paper,casino snow witch vet hole temple hood opera,soul pumpkin ruler game board ship fall,pirate
50,antelope rhinoceros rhino bison wildebeest,lion buffalo,mount bed lead force pie track tooth,king needle bear dice diamond fall straw dress,cap undertaker cell rose green mouth worm,school
51,football Rugby bowling netball footy,cricket club,ground tail switch sound fan king,belt engine teacher figure crash robin smuggler beach soul,berry tablet hook dance police mouse line,wall
52,ringing ringer toggle peal chime,bell button,change root star teacher revolution shoe princess,mouse queen web net mass shop bill state,fish knight yard mole block jack cast,bear
53,district kindergarten superintendent blaze arson,fire school,lemon tablet carrot jack band princess,pilot cap spider needle mass fair chick field circle,engine agent paper spy soldier bow jack,pyramid
54,trading dividend volatility repurchase tradable,stock cap,soldier olive oil circle cloak embassy ivory,genius doctor teacher eye jet church file stadium,tower cotton pin card contract key pass,apple
55,underarm seamed fisted instep wicketkeeper,ball glove,post green server ivory state alien,tap washer temple glove spot battery trunk angel leprechaun,wake link glass grass thumb boom mass,ball
56,polyester textile mohair jute rayon,cotton,pilot car play contract field casino bug,date pin fish wake engine comic conductor spring paste,bed orange circle band model novel slip,gold
57,queen prince empress duchess mermaid,princess,crane shop belt block pole crash straw,death dress theater trip school track revolution ghost telescope,pyramid post cross link head grass tap,card
58,corner checkerboard diagonal bounded contiguous,block square,card jack hole lion key skyscraper witch,hook ship opera stream fair dance compound deck,fork code match grass bar change disease,crane
59,furry pygmy hedgehog hare lupine,dwarf rabbit,temple cotton robin cold princess light,duck roulette doctor vacuum mouse lawyer match shark glass,forest space racket cover band mole bug,box
60,violin oboe cello saxophone clarinet,flute piano,cook mail needle lock racket part,vet kiwi well park green round diamond calf compound,tag fish battery nut cliff root capital,draft
61,tarantula squid centipede crustacean cuttlefish,sock spider octopus,conductor beat spring church gas,flute moon train beat platypus roulette doctor press arm,missile cycle force part litter wall torch,shadow
62,critical underlying crucial reset cyclical,copper match cycle key slip,ray dwarf platypus,horse line bat horseshoe seal arm pilot copper fish,shop smuggler bug forest undertaker string genius,litter
63,netball snooker batsman umpire badminton,racket cricket,bill temple pumpkin log spot ring dwarf,flute band robot alien hook piano nail swing,giant witch palm spring bark rabbit drop,stream
64,install gate ceiling sealing bulkhead,wall pipe lock,undertaker helicopter phoenix eagle fan ship,leprechaun pants bank laser fish mouth spring chick,luck ruler torch part plastic chair pupil,superhero
65,copper magnesium illumination manganese illuminating,iron light,tablet chick shot genius post rabbit,agent rock pants forest triangle file hood car pin,link cotton bond draft tap life theater,octopus
66,teacher headmaster schoolmaster headmistress schoolmate,pupil,park stream limousine spine nut bolt hawk,grass drop shop crane knife fair agent eagle horn,file contract dinosaur shark water pool air,link
67,plate chip sleeve lanyard knuckle,glove pin,horse canada oil school beat buck state,cloak parachute pistol piano millionaire arm plot washer,drop slug mammoth drill conductor stock shark,fly
68,implement modify adapt magnitude scaling,scale change,lemon chair nail beach green pupil strike,pyramid pit point ice apple comic trip table,school bottle angel orange bond circle concert,cap
69,site management organization faculty editorial,staff board web,port kiwi string bat rock,plane embassy police draft row crane platypus conductor fair,light honey mass cross log pants bond,washer
70,smuggling robber pickpocket forger shoplifter,smuggler thief,cell concert draft tower robin state shadow,pirate dragon kangaroo hood moon fighter skyscraper tick,honey microscope cross bug forest mass sound,pool
71,caribou halibut walrus blubber beluga,whale pound hole oil ice,capital grace torch death,spot air china novel fall center deck net,bow unicorn film row draft belt pipe,bar
72,planetarium optics astronomy astronomer observatory,telescope pupil,card chick pit force stadium grace date,lion thief contract pin comic cotton bark life,spike strike dwarf calf eye suit turkey,platypus
73,browser login router configure disable,link server switch,mouth honey copper jet vacuum dinosaur,air racket part hand lawyer foot teacher tail,plot file spell millionaire force note deck,crown
74,pitch momentum stance turnout swung,figure ground swing,orange robin scientist paste mammoth,foot tap triangle death marble worm root witch robot,rabbit well net doctor back millionaire bed,check
75,stow crosswise armrest rake lengthwise,trunk fork,king cell fighter cover helicopter row,code spring back unicorn pit box robot shark cast,star kiwi pitch bow orange screen pyramid,scorpion
76,horsepower supercharger piston crankshaft carburetor,fork engine,rose apple tick pool chocolate alien,satellite draft deck vet degree doctor novel pupil watch,ivory shop post flute grace leprechaun angel,trip
77,beam catheter endoscopic abdomen thoracic,chest laser tube,pyramid paste server pool cast,staff compound film satellite wind slug bank calf paper,bridge track park bat needle piano penguin,bottle
78,dragon Blackbeard penguin mermaid cuttlefish,pirate octopus lion,press battery plastic death cold match,draft dinosaur calf tick moon pants knife shot,suit robot center cliff life tower fall,tap
