,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,petroleum hydrocarbon chemical crude gasoline,compound oil,pass bark organ bridge log eagle,worm temple cotton pool fighter cook dinosaur undertaker shop,berry plate pyramid port grace princess head,kangaroo
1,meadow dappled shrubbery lawn reindeer,circle snow unicorn grass,jack glove bottle film,press capital port berry cap point spine doctor glove,fork post strike time mass lawyer queen,nut
2,scored rebound finished snagged ninth,shot spot line,tablet snow laser shark tooth,princess tube stream theater ketchup spell cricket tail charge,worm glove orange shot crash triangle witch,plane
3,trilogy thriller adaptation sequel fiction,novel film,bond lab crane ivory fence missile,platypus trunk dinosaur hand diamond screen day bark concert,stadium tail laser flute film fighter chair,back
4,best excellent many successful extremely,track well,crash march king buck mug arm,hand cloak seal night lion eagle figure ring racket,fall theater roulette soul row cover scientist,arm
5,cyclic flow continuous vacuum fluid,cycle force tube,princess stadium watch ghost spine,kangaroo band parachute head school boot star cotton shop,pie opera center doctor honey ghost root,novel
6,waistband toggle collar waist holster,button belt,pass life foot force death night,link diamond ship day jack code octopus doctor bugle,root pupil model web dance helicopter yard,watch
7,difference intensity estimate approach reflect,change figure line pitch,knight marble cotton file,unicorn casino slip cover princess pants park turkey needle,contract poison back slug grass web cloak,lock
8,submit prior confirmation expiration expiry,post date,stock game angel opera knife witch,lemon dance giant nut theater church drop wind fence,spider limousine king chest cricket gold lab,pistol
9,thinker brilliance masterpiece visionary savant,genius figure,swing honey check china stream witch,hospital mole wake flute carrot dinosaur angel kiwi disease,soul air pyramid bar string stick pan,strike
10,silicone disposable charger refillable polystyrene,battery plastic,swing thumb temple part dwarf pole,berry state bank suit drill bear hook bar tie,octopus tube tag phoenix mouse scorpion space,bridge
11,boardwalk pier patio jetty lagoon,deck pit beach,school dice pilot needle heart,stock bear wall cricket satellite parachute dance gold play,doctor shoe field torch point ring box,pass
12,batsman netball Rugby bowling footy,cricket,fish light crown pool litter fall night,pan grass orange cotton shoe draft strike straw day,berry grace port mug square pit oil,line
13,newsprint notebook uncoated printed pencil,tablet paper,angel piano slug vet fan circle,pool court bolt chest green draft tablet genius mail,ruler cricket bug back needle olive cold,agent
14,consulate diplomat ambassador consular envoy,embassy fighter,bear beach vacuum tap iron bugle,bolt rabbit stick center whale cycle pupil bill octopus,train crane grace press time vet drill,pumpkin
15,industrialization uprising upheaval unrest insurrection,capital revolution,princess nut mole cap pumpkin log,switch deck lead slip conductor teacher dice trunk pirate,spike root dragon bear fly table eagle,fan
16,robber pickpocket burglar murderer swindler,plot thief,school root mount jack train round,circle embassy concert court swing model litter chair cycle,soul play needle plastic bottle washer tap,tick
17,sandal stiletto shank cleat heel,fork shoe pin bow,row honey bond day,poison card change force screen forest pole switch school,park bill buffalo microscope bell match bark,soldier
18,frosty chilly cloudy wintry foggy,glass cold,game microscope key bond play tooth,rock china mouse disease pool scorpion temple wind square,string dwarf cycle buffalo tap needle honey,sink
19,silver bronze copper medalist bullion,round cast gold,bar pyramid shadow mouse grass,change octopus chick wake stick maple novel pants slug,hawk ray board hand sock spot pumpkin,leprechaun
20,machete scalpel cleaver utensil screwdriver,brush ruler knife,boom button fire fly center,thumb bell iron point model vacuum tail spring pass,phoenix mass air grass paste jet novel,orange
21,mayonnaise gravy custard condiment hamburger,ketchup sink pie,chick robin limousine tick draft,pit button brush hand witch card boot spot eye,theater agent bear cold fire suit microscope,worm
22,sorcery sorcerer demon demonic hag,triangle witch,dance vacuum head organ ambulance time,hospital plot olive bug turkey server tag shot horseshoe,lab dinosaur needle tower scorpion crown ship,court
23,pilot agreement pact broadcaster sustainment,contract air fighter,horseshoe bark pan church compound,needle ground bell gold fence turkey time tail horse,check china genius laser casino duck ivory,canada
24,folder executable distributable delete append,file net,rose horse octopus night genius green,crown car cotton fall air cold plane copper train,spike pipe cell paper log kangaroo nurse,opera
25,wallaby thoroughbred equine marsupial greyhound,kangaroo horse,fish plot forest eye ice arm,horseshoe sock comic nut whip figure vet ship deck,eagle seal bolt cold sound fair card,honey
26,pastor priest congregation army military,part soldier church,light bottle mole press ice,lead cycle pants church berry needle drill sink moon,match trip tap horse stick green skyscraper,tick
27,detonate detonation minaret detonator airliner,bomb skyscraper,tag limousine check cell litter lemon,pin capital fair limousine button night hole queen mouth,kiwi bed snow cloak fall fence lemon,ice
28,informant smuggling informer defector negotiator,agent smuggler,game key pyramid moon scale rabbit,slug cover tick soul bed note poison pirate fish,track wave pass pistol degree pipe buffalo,temple
29,baccarat blackjack craps poker casino,rock roulette gold,battery calf nurse embassy file,phoenix water laser nail arm berry bolt stream fall,bear glass ring iron jet death nut,key
30,syntax arcane overwrite rewrite parse,spell code field,honey racket ghost spy arm,pound car scientist teacher star card cricket palm compound,club chocolate buffalo helicopter knife state code,track
31,rifle handgun revolver gun firing,pistol fire,line theater cotton cell penguin lemon,code key laser rose ruler temple dress spike fork,shark table row plastic knife spell superhero,bed
32,hospice clinic society medical psychiatric,club hospital life,link dragon tail tap spike,lion diamond duck pound bill engine whip arm spine,spike car cliff server concert luck worm,crash
33,avocado pineapple zucchini cabbage onion,grass pumpkin orange,car boom grace model genius,berry grass bill spell worm arm stick novel scale,back spring gas heart well ruler racket,fall
34,tomato orange raspberry strawberry avocado,apple pumpkin green,space pirate pilot belt circle,pistol robin snow screen alien bill china forest apple,octopus scorpion cast rock cotton teacher spine,dance
35,trousers jeans blouse pant frock,dress pants,mouth opera hood parachute chest night,stock dance time hawk circle table staff pitch straw,change log fence plate green spike school,penguin
36,doctorate diploma bachelor undergraduate baccalaureate,degree,honey sound box pistol net skyscraper mouse,nut mass marble limousine tick stream model plate time,penguin whip queen jack scientist skyscraper conductor,center
37,funeral deceased mortician burial interment,death undertaker,turkey spy board mug pie pole,mass superhero knight poison paper ice duck wind orange,police bomb bed drill bow sound fighter,chest
38,porpoise humpback cuttlefish beluga eel,octopus whale,note bridge berry calf pie center,angel root mail mouse pilot crash shoe jam deck,night stick bar pipe thief car robin,alien
39,memoir nonfiction author autobiography writer,point novel fan,crash stock pyramid crane poison,undertaker cell point fair server cliff heart glove pirate,log button pit ivory crown bank worm,part
40,hominid Neanderthal paleontologist fossil paleontology,dinosaur thumb,line ship conductor stream death seal,night fish grace pin laser buck spine wake trip,space pie buffalo china boot stadium litter,knight
41,humanoid automaton cursor anthropomorphic hamster,robot giant mouse,calf board lead spy engine,turkey tablet bill shot buffalo bolt trip calf fish,agent eye thief bow stream mass bug,part
42,shamrock Irishman ogre pixie redheaded,leprechaun,code roulette bond figure change chest center,hole litter slip horseshoe knight part board temple calf,iron chocolate bark fair ruler mail penguin,bug
43,pear fruit mango blueberry peach,dragon apple kiwi,stadium sink straw buck genius,pit spy hawk tube tower novel thief teacher scorpion,back laser turkey spine spike missile chair,sock
44,vegetation soil moss turf punk,grass rock,king ring gold china plane button,plate hood tick eye grace bridge vet horn part,battery sock tube compound row light chick,crane
45,wallaby kingpin ringleader escapee lawman,smuggler kangaroo,laser link mug ball grace fan,cook whale ketchup rose gold glass screen octopus berry,foot paper fence duck change battery rock,bear
46,nylon monofilament cardboard detachable polyethylene,hook plastic,watch kiwi cast fall organ draft,capital seal cold jack sink table point racket ring,octopus queen mouse ice worm maple plate,mole
47,upheaval industrialization resurgence revolt democratization,boom revolution change,limousine plastic ivory fence scorpion,luck bar air charge duck track tooth change scale,figure ray shoe temple honey star olive,lawyer
48,debit controller merchant adapter slot,port card,state press belt band boom lock,dinosaur missile skyscraper octopus buck luck copper limousine bolt,bed plate lock pass jet play brush,trip
49,fencing enclose fasten barricade pry,lock fence cover,web figure fork wave force,concert penguin jack engine buffalo torch string space snow,spy key hawk police wave ground mouse,contract
50,cub chimpanzee gazelle tigress wildebeest,ivory lion,bed chair band pumpkin lemon spike,cross jack iron cliff heart night oil head screen,triangle tower plot fork ray canada lab,ivory
51,recital gig orchestra pianist rehearsal,concert,pit shot angel lion pipe staff point,princess pumpkin horseshoe crane hospital spike buck port ice,dress spine line plane worm button comic,tick
52,emerald platinum bullion clover clay,gold grass,agent film ray buck jack pupil,file calf fence stadium litter rose washer wake drill,foot ray agent light game figure bottle,mount
53,God divine gentleness kindness blessed,angel grace,wake agent well plot life satellite,court mug pitch beach triangle missile satellite bomb ghost,pole pie spine palm slip worm carrot,tie
54,hazelnut bees syrup vanilla raspberry,dwarf honey,police cell match bill pupil tube,mole mass state octopus track paper carrot scale lion,cap pitch pants helicopter conductor car tablet,angel
55,ogre shrew pussycat hag mastiff,princess bear hawk,cycle vacuum cricket spot ambulance,cap swing queen fence spring fly scientist film thumb,stock pilot yard trip ray mammoth mass,eagle
56,teeth periodontal dental molar gingivitis,tooth,yard turkey tag figure lab wind rabbit,buck glove tag bank net jack pan suit bottle,track file drill part ice block watch,slug
57,click push toggle select switch,drop button,time agent bat mouth slug post,conductor engine superhero horse pupil telescope luck palm copper,bed teacher drill whip dinosaur pie note,spider
58,grizzly Neanderthal mastodon Jurassic extinct,cliff dinosaur bear,bell car cap table knife,mail pyramid ring ice teacher canada engine vacuum ray,bank line shop pumpkin ambulance paper whip,circle
59,malignancy diagnosis epidemiology etiology osteoarthritis,disease degree,police bed plot parachute ambulance shop,part lawyer contract shop marble water cook triangle bug,diamond plastic yard eye cycle grace embassy,port
60,chauffeur motorcade hearse taxicab taxi,limousine,dice court square sink pin parachute file,wall vacuum key turkey round band duck square pit,kiwi palm shop straw bug wind capital,mole
61,tournament league derby fixture decider,club match,note glass watch key wall whale,cold stadium play link luck bear game train ivory,kiwi bar press flute chair parachute snow,bottle
62,cockroach jellyfish tarantula snail centipede,penguin slug spider,box spine olive fall air,king berry bow triangle parachute match nurse apple car,roulette back fighter giant ghost luck robot,pit
63,compete intercity depart clash arrive,match train,cover ghost unicorn embassy pupil tooth,boom scorpion mouth point rabbit mole back millionaire revolution,chocolate plot court cell shot post leprechaun,teacher
64,mark threaded deflected marker connect,pin cross,day stadium mole mug casino dwarf,shoe check pants switch racket belt bugle model hole,smuggler contract circle mail shop eagle millionaire,limousine
65,seep sunk wallow wriggle submerge,slip sink,field vacuum bridge ground shop point,diamond mount glass laser giant jet drop undertaker band,plastic thumb bolt contract tooth teacher well,spike
66,humor comedic comedy humorous satire,life comic,buck chest duck spy engine paste,plate model bridge smuggler agent giant lock crash spot,lead fly superhero switch bar wind stream,missile
67,compressor plunger valve hose heater,washer block tube switch,chest wave teacher mouse,pass platypus mole tag angel disease link snow bat,plane box beat ambulance hawk police lock,degree
68,wipe conceal spare concealed rub,cover hand,fish mass theater orange lawyer center,skyscraper spot penguin satellite well sound star back circle,telescope suit bow stock port hand robin,line
69,browser subsystem daemon Zend executable,engine server,princess glass trip hand piano arm,battery diamond time pistol pyramid block mount root iron,straw pan eye fan web spring court,wave
70,mayonnaise caramel margarine applesauce yoghurt,carrot ketchup chocolate,press roulette slug tick eagle,octopus hole battery light rabbit table police tag bolt,pistol pilot berry life draft comic maple,moon
71,gambling attorney gambler solicitor lottery,lawyer casino luck,knight belt horn litter nail,ambulance thief giant rock worm jet charge ice spell,capital whip bomb moon orange cook deck,flute
72,trousers waistband jeans pant jacket,hole belt pants,club bomb tail grass engine,cap dance bar post code ring crash lion time,washer hand ray staff fish air kiwi,alien
73,behemoth colossal towering gigantic massive,boom mammoth skyscraper,game horn fork band night,lemon princess disease cliff moon fall whip rabbit sink,copper round stream press calf microscope bomb,battery
74,stallion steed thoroughbred gelding donkey,king horse,pitch state bridge compound pie point,phoenix diamond drill root marble beach check game belt,revolution car spine part ball buffalo hook,tower
75,finalize outlined pivotal return revisit,key draft back,nut casino grace shark tube,air bugle rock parachute link pool nut fan smuggler,drill telescope eagle temple ground beat ruler,water
76,piglet goat bunny raccoon hare,carrot rabbit thief,cycle gold bond press slip,concert phoenix pin row mole plastic mount strike worm,ball limousine point scientist casino kangaroo cold,bar
77,parasite rodent centipede raccoon reptilian,alien rabbit worm,limousine dress washer chest whip,parachute honey pitch flute angel model rock apple teacher,drop pyramid shadow deck bar pirate change,charge
78,movie documentary cinematographer cinematography shoot,film shot,cycle beach leprechaun life link model,figure berry straw pistol undertaker cap heart paste mass,wave doctor well net board glass bug,degree
79,pinkie pinky forearm wrist forefinger,thumb,maple pirate ship dragon pupil circle pumpkin,vacuum trunk chair check block litter slip line leprechaun,ball point soul opera nurse shot buck,fish
80,abdomen neck stomach abdominal throat,chest heart,court robin carrot jam grass dwarf,mouse tower hook screen needle theater staff fish deck,boot court square jet pound shot glass,boom
