,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,zinc molybdenum metallurgical manganese soldering,washer drill copper,platypus jam hand wake buffalo pupil,helicopter thumb field switch chick cover spot button,bugle needle rock ambulance shark tail cliff,row
1,equitable kickoff appraisal turf competitive,fair pitch field,mount link tap belt spine,point embassy spot battery soul ship mount cricket fly,row honey bond spring berry part revolution,ring
2,footwear heel floppy sheepskin suede,boot,point helicopter lawyer car penguin court vet,rose racket deck pan pole superhero match beat gold,slug trunk board bank scorpion cloak giant,sink
3,mayonnaise tomato applesauce zucchini sauerkraut,pumpkin ketchup,buck tower park life suit check bear,match bar horse dragon hand theater ruler pie,plane ball crown fall bat comic duck,soldier
4,squire nobleman damsel lord Guinevere,angel knight,beat casino genius tap bed press,mouse ring buffalo cover spine bill trip shot seal,bolt penguin pyramid web point fork space,root
5,carat opal zircon sapphire jade,pyramid diamond,robot link cast battery spot pole,forest spine change bridge tap witch watch pin root,mammoth ice post plot pistol laser tick,switch
6,timbre tonal tonality tinny dissonant,scale sound,princess torch carrot copper mug bed,paste tower trip compound horse tap ground band draft,water rabbit pyramid satellite stick snow spell,wave
7,verify browse site bookmark verification,web check,missile tower maple fish phoenix platypus glass,star torch bear car press park water bark,root ship conductor time chick switch olive,wake
8,recital orchestra music gig festival,concert,limousine fighter bomb gold smuggler fence pit,ray draft leprechaun switch slip table spell jet bill,space wave chair hole swing agent plane,nut
9,salmon carp plankton trout hatchery,litter fish,block model doctor date note fire,lead honey racket pistol hook draft missile dragon lawyer,heart train battery tag temple tie pyramid,glove
10,album drummer guitarist bassist vocalist,comic cover band,crane lab head shoe bark scorpion,tag police fair drop stream pilot ring star,cliff gold ambulance opera boom figure bar,charge
11,lamb ostrich chicken wallaby possum,turkey kangaroo,box soul luck tooth part knight,mass degree needle fire novel brush slip ball well,fair concert pants sound night bug helicopter,cell
12,agreement suing litigation stipulation counterclaim,contract suit,field trip crash bark hole march,round drill washer telescope thief strike chair night ball,bar beat pumpkin pound dice cast millionaire,pipe
13,illumination pattern cyclical cyclic illuminating,cycle round light,lion duck stock mole net undertaker,revolution death trip foot ice queen charge fish,smuggler pipe angel car stock pumpkin cross,draft
14,brightness viewable tablet playback recharge,battery screen,rose poison bark hospital beach knight,nail helicopter bear car horn palm racket berry cook,washer vet line gold teacher chocolate circle,pin
15,werewolf superman fictional superhuman vampire,wake superhero unicorn,worm calf triangle ray cotton,smuggler slip washer boom port wall tap spring china,bolt spike phoenix cover casino back draft,pit
16,flew bunt flown wrist grounder,glove fly,penguin casino gold green card teacher pit,spike staff brush theater mail soul game horse,space octopus figure needle track honey engine,tick
17,laurel steeple spire coronation gilded,crown phoenix bell,lion missile code mug game tail,tie queen horn key moon button slip yard,shark concert charge tap dice hood wall,robot
18,viaduct bridging overpass crossing junction,center bridge,duck lab glove penguin paste tail fan,kiwi state robin belt ruler duck pool scientist,cast comic gas water lion cliff shark,phoenix
19,celery broccoli kilo potatoes zucchini,carrot pound,brush server suit hood thumb beach unicorn,round ketchup stadium ambulance contract slug sound organ,court racket force moon church pyramid back,track
20,spinal lumbar cervical vertebrae realign,spine cover,crash glove ring ruler game card plate,rabbit king belt bottle hole mole spring torch,draft date phoenix key grass beach undertaker,lawyer
21,broker informant publicist realtor intermediary,agent,worm light temple bill cricket shark horseshoe log,washer laser engine whale bolt fighter link capital,pit limousine compound state deck opera fair,draft
22,sew tablecloth knitting cloth sewing,cook board sock paper,cricket roulette scorpion watch,draft superhero fork diamond agent charge degree pitch millionaire,mammoth shot cotton crane crown note contract,state
23,robber pickpocket shoplifter beggar mugger,thief carrot,switch beat bolt state bugle cover,compound server spike ground robot fork string nail scientist,laser charge theater flute pyramid trunk date,bar
24,dragonfly owl wasp snake buzzard,spider hawk,dress genius china day millionaire cotton,club wind buffalo marble stock mug plane gas soldier,pitch parachute tablet bell arm button laser,space
25,jay martin knight partridge finch,king ray robin,deck stick mouth strike copper,bed tag poison swing litter trunk opera soldier satellite,lead oil torch bolt sock court horn,head
26,laundry crockery stove dishwashing heater,table washer water head,fly boot poison scale,tube bolt crane lead film bill vet rabbit tap,grace octopus space engine deck robot copper,mouth
27,tumbled plummeted dipped shrank risen,rose cotton,mount helicopter vacuum dragon horseshoe fly scorpion,olive mug press dance cap tie band pie,deck roulette stick court dice diamond flute,novel
28,configure authentication login delete encrypt,line root lock server,buck helicopter litter bottle pumpkin,port luck deck cold rock play lab cell,switch stick dinosaur web bomb card genius,circle
29,whodunit narrative assassination assassinate scheming,plot,bug bow slug gold school cross pin ship,boot carrot tail hook tower port press stream,spring leprechaun ball paste play note capital,kiwi
30,delete register consecutive successive locked,log row,swing buck lemon agent opera lead ice,field hospital green leprechaun cross skyscraper well bill,unicorn plastic stadium school back space grass,honey
31,pasting mash chopped sliced frosting,paste jam,row flute needle line shoe wall cell,flute trip forest button poison platypus night state,bank comic bell olive cloak drop honey,washer
32,sleep lace skin knit linen,nail heart bed dress,field wind kiwi draft moon,vet piano limousine millionaire film box concert rose,post shoe jam temple ship bolt card,hole
33,chapel cathedral steeple rectory congregation,tower church,mouth line litter vet mole table cover,berry shadow skyscraper swing table circle spell day,pin robot giant smuggler screen platypus buffalo,cast
34,demon slayer devil prince god,hawk king angel,platypus server pie disease spine sound,yard litter dinosaur court key bank cloak figure,mammoth fighter day belt cold boom paste,square
35,honk toot antler deer doe,horn buck,church trip mail laser snow school table,life seal scale ball string watch arm bar,log compound torch chocolate boom paste berry,opera
36,conqueror warrior sinner God servant,soul angel soldier ruler,box draft canada kangaroo horn,pants ambulance penguin skyscraper pound parachute brush compound,spider ring helicopter superhero engine stick rock,cell
37,flew flown flight depart flit,fly,pistol bolt lock car calf cricket racket,web orange soldier tie chick root center date swing,tablet staff bark slug witch king shot,nail
38,physician microscopy patient clinician radiologist,microscope doctor cell,sock shoe eagle grace spell stadium,horseshoe olive litter plastic yard slug day platypus,switch robin part crane degree march hole,marble
39,electrode cathode tubing impedance coupler,conductor tube,dinosaur capital pants fish beach note whip,ghost post rock pound degree chocolate hole grace,net pie cloak link bed hospital leprechaun,spider
40,chauffeur motorcade hearse taxicab Mercedes,limousine,kangaroo spike berry server racket iron pit,train gas needle air eye nurse torch whip strike,gold straw teacher bear litter fan ruler,laser
41,harpsichord oboe clarinet harmonium trombone,flute organ,thief match plot heart bugle check,fence gas crown plastic piano jet chocolate chick bank,ketchup cloak phoenix ivory rose hawk track,robin
42,bonnet cowl jay cardigan visor,robin bow hood,row marble roulette key death,fighter dragon string degree trunk shark palm match unicorn,air plot press queen ray line police,theater
43,address login connect propagate refer,root link,tie plane fish cricket casino parachute foot,pipe stock luck crown microscope bond pitch helicopter,play ring part air switch kangaroo screen,shoe
44,router gateway subsystem interface node,port server,head bridge scale day fire square,marble pit limousine death bug palm shoe pistol lemon,charge compound shark giant belt moon fair,yard
45,physician pharmacist pediatrician dietician internist,staff doctor,spring head server figure compound carrot cross,knight spy force torch dinosaur dance hood lab,spine lawyer apple nail revolution star boot,bear
46,falcon osprey raptor heron albatross,ray crane hawk,oil organ trip spike racket mole,straw park button opera rock turkey dice brush,diamond lion ketchup belt horseshoe server point,honey
47,chilled sterile chilly cryogenic freezer,lab cold,crash pitch track belt fence fire,state snow embassy lawyer police night mug whale key,glove parachute scientist ghost yard worm torch,board
48,blizzard grizzly moose wintry sleet,snow bear,giant field trip port wall hole boom,force club doctor space card parachute pupil torch,maple rose check beat soul apple post,bottle
49,tarantula serpent lizard dragon viper,unicorn scorpion,satellite spring hospital draft bank key orange,unicorn shoe turkey cloak tower box beat switch,card knight kiwi slug ruler space string,change
50,charger washable laundry scrubber alternator,litter washer battery,trip missile casino novel note,agent field temple phoenix march crash force part stick,chest kiwi china rabbit pistol hospital bridge,log
51,wallaby possum marsupial opossum rodent,rabbit kangaroo,poison link key ketchup whip fire,wake undertaker robin slug bank honey date tablet card,square time net fork bug cross cover,deck
52,work deal reflect agreement improve,contract well change,beat crane pan paper mug,pitch fan scorpion duck dragon tap litter dinosaur straw,forest lemon park boom car wake skyscraper,tooth
53,journey record pace career jog,slip track life,flute trunk microscope pilot root,pistol bank spot angel vacuum strike moon fair copper,bomb ghost staff dice button heart wave,lock
54,outfield inning putt mound dugout,hole pitch,poison state bill bank robin death,millionaire slip unicorn disease queen compound alien shark ball,novel glass fly switch buck pants triangle,jack
55,stadia outfield scrimmage scoreboard kickoff,stadium ball,missile litter mug china thumb net palm,phoenix tail track space cross church beat eye,cook triangle spot slug glove torch well,dwarf
56,singer premiere performer entertainer musician,concert star,ghost hood horse charge net engine,orange chick lab port fence carrot spine rabbit berry,stock pupil spot circle dragon film bill,degree
57,scalpel scissors hacksaw screwdriver machete,knife nail,center piano state cliff cricket cell,sink fish buffalo rabbit head lock row fair triangle,cold shot superhero day train stock bell,pupil
58,silicone removable polyethylene latch resin,plastic ball lock,star bridge watch genius pilot,police stadium tap tick king platypus well chair foot,night forest fan jack box laser vacuum,telescope
59,helicopter medic airlift extricated aircrew,parachute ambulance,mass crown screen web bomb spell,scale gold school plot tube casino fish fence button,time racket boot pole pumpkin fire staff,orange
60,tumbling crumble swoon pop roll,fall rock,worm head pan round pipe revolution fly,superhero lion hospital ambulance spell button drill server,ghost mouth stick band bell mug spring,forest
61,chicken celery soup turkey egg,carrot duck,model log eye fly fence lead,calf spring kiwi bark port drill cricket grass scale,death engine undertaker pipe check part center,thief
62,lunar heavens orb Saturn celestial,moon plane tower ring,apple undertaker charge court yard,belt pupil bridge cook degree copper log pole,satellite lion gas iron slug model lawyer,bomb
63,bacterial encode subset bacteria microbial,stream bug cell,ambulance temple bark suit whip,orange air princess missile ship parachute pyramid torch degree,fork spider honey court penguin hook pumpkin,racket
64,steed swordsman jester princess warrior,knight unicorn,bug vacuum casino mouse pipe fly,spell pin engine tick crane embassy moon box millionaire,jam octopus shadow teacher link whale port,worm
65,fall summer autumn winter dip,spring drop,bat scientist spider roulette grass yard,root trunk mammoth revolution switch cold lead wave charge,cross knife rock embassy angel stream horn,engine
66,lock shift switch alignment adjustment,arm change boot,band chick opera bed square,parachute alien theater ice cook mouse pumpkin bear foot,piano space jam tie brush washer horse,rose
67,colt revolver rifle handgun firearm,horse whip pistol,palm plot diamond grass march engine,shadow mass embassy horn olive knight shop wake,drop microscope round brush roulette wall doctor,ketchup
68,scoundrel megalomaniac mastermind madman pickpocket,thief dwarf genius,stick trip piano bill stream orange,palm swing cricket plate copper platypus microscope round,server pie stream ivory draft pole honey,calf
69,bullion silver treasury investment liquidity,gold capital,stick web day stream knight cook,file bottle time field robin compound ring boom center,sound link lock pound bill bell forest,beat
70,fiction memoir screenplay adaptation autobiographical,novel,limousine star dance tap staff smuggler palm,washer capital boot duck opera spine mammoth cycle laser,part diamond staff bugle jack sound mole,bank
71,culvert wellhead guttering outfall sewerage,pipe,soldier penguin eye key angel whip knight,pants point straw glass track microscope eagle shoe beach,log bottle shop revolution press scale unicorn,air
72,rectangular rectangle cube adjacent diagonally,square table,trip arm state slip racket key,belt berry draft court slug cricket boot king change,novel pants skyscraper doctor temple wave school,dress
73,ambulance personnel copter officer sheriff,helicopter police,plot grace superhero grass agent file bear,nail wave bow bolt limousine unicorn bark dress,nurse glass beat tick pirate kangaroo thumb,shark
74,humanoid squid porpoise crustacean mammal,robot worm whale,heart pitch scale bottle table square,honey file deck calf drop telescope line hood,pipe nail ship fire luck hole stream,princess
75,clash draw defeat skill duel,luck knife match,capital light grace casino code ship,rabbit string cook duck hood grass worm point,key dwarf thumb dinosaur drill china shoe,car
76,personnel assistant hired faculty hire,staff charge,worm ivory watch pie vet pit cook,disease box cell kiwi scale racket torch gold,boot duck apple link telescope drop diamond,bill
77,wagering embarkation transshipment Biloxi Gibraltar,port casino,sock stock life superhero bear yard tablet,horseshoe tower green contract scientist jam match model,grace triangle kiwi jack mount track field,deck
78,resemblance portray confront comprehend admit,alien bear figure,ivory missile apple match foot,crane pilot skyscraper copper whale hospital net knight pistol,police bug comic web spine court conductor,tick
79,saxophone sax trombone percussion harmonica,horn jam piano,row drop bugle yard fire nurse,life skyscraper cook conductor bridge vacuum dress light,torch drill spike battery park button round,hospital
80,hare sheep bunny goat rat,rabbit cross,drill check pipe concert court battery platypus,superhero vet star tube spring buck server bill,pupil hole board phoenix ivory ray shop,round
81,transducer coaxial flange diaphragm elastomer,mount tube compound,band state life glove pilot,night park mug beat bank orange scale star watch,change triangle paper bottle ketchup dance string,cycle
82,falcon buzzard firefly gull osprey,hawk ray,needle ring hook grass smuggler vet,dragon death time draft bar oil drill scale post,cross link robin cell agent spy bill,forest
83,sorcerer invisibility sorcery veil disguise,cloak witch,ball wave string hook bar circle,hook stick skyscraper phoenix bed smuggler boot honey water,pumpkin pass pool lead vacuum copper snow,back
84,educator student teaching instructor tutor,teacher,beat dragon shot tag model unicorn square,superhero spy dwarf train sock ketchup sink litter heart,fence switch park belt church straw phoenix,spike
85,generation phenomenon paradigm phenomena dynamics,model wave,nail torch witch grass jam button,pit sock hood stadium glass lion straw lock square,copper forest eagle table robot field iron,log
86,sump furnace scrubber auger compactor,pit washer,club light life parachute paper mole green,row fork compound belt hospital doctor ruler ground,orange stream shop swing field moon bond,figure
87,saute couscous balsamic salad bake,cook olive,mass scientist star knife pin date file,wind casino light undertaker rose skyscraper kiwi turkey,poison orange spring theater pitch torch angel,cast
88,array permutation stack grouping drawer,string table,satellite web copper eye gold platypus square,heart slip plot crash well embassy ambulance pan,contract cycle dragon straw figure circle knight,band
89,goliath gigantic gorilla mammoth behemoth,giant penguin,plate carrot luck wake horn tablet,block play dress tail teacher wave king tablet arm,cap microscope night knight horn tower belt,ketchup
90,retaliatory retaliate firing retaliation salvo,strike missile,leprechaun pants bark paste disease palm cook,dress plane stream octopus kangaroo spider beach pool,shop thumb link shadow figure ivory deck,rock
91,cyanide nectar vinegar syrup flavoring,honey poison,thief bell microscope staff iron canada cover,fair fly witch wind bolt triangle film buffalo,vet charge spring lemon soul agent scale,paper
92,marsupial goliath koala mammal armadillo,giant platypus bat,band plot figure web ruler,time bed car line mass sock knife tick swing,paper pipe hood cook hawk undertaker deck,carrot
93,comedic humor hilarious comedy cartoonist,comic genius,princess stick bolt berry phoenix circle drop,satellite battery ruler carrot pin jet suit film,trunk lawyer crane pupil date giant bat,dice
94,conference briefing declaration address critical,press key block draft,capital swing watch mole battery,washer chest soul rock cover hand train pilot,ambulance ketchup gas brush net night bill,pie
95,behemoth goliath gigantic snail parasite,giant worm,church needle spring fighter pilot fly angel,cloak brush row hand head pole chest tag,car robin tail dwarf buffalo gold tap,game
96,spire skyscraper pagoda gargoyle serpent,tower dragon,slug match parachute hook jet ketchup drop,pass laser charge scientist nut marble file head,soldier organ wall casino light limousine jam,dance
97,queen treason coronation impresario murder,charge shot king wave concert,paper port disease log,point center pilot pound night grass sound bond,swing net spot giant wall palm car,round
98,teaching student apprenticeship superintendent principal,contract teacher pilot,worm well shadow rabbit telescope cook,leprechaun track microscope bill gas fence watch heart,spring fire figure iron boot robin straw,vet
99,thaw harvest hinge enclose midwinter,seal spring,water mug hand conductor fence stadium ice,star pitch piano web ray lead knight arm,wake nut grass school degree well thumb,air
