,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,attorney solicitor litigator adviser broker accountant stockbroker consultant investigator advisor,agent lawyer,mouth fire degree bottle theater canada,whip jack court battery water button stream fly pumpkin,cotton flute poison horn glove bottle,jam
1,skillet saute casserole broiler tenderloin buttered broiling broil boneless simmer,turkey pan,port pass pole ship washer crane,pants china spring night web sock cover horseshoe block,dragon revolution dice shoe part hand,bottle
2,juice lemon lime liqueur vodka pint syrup raspberry peach citrus,bottle orange,concert space circle laser cover heart,tick china bugle sink dragon fan heart police cliff,head spider skyscraper post buck foot,roulette
3,instep leg bike amputee mile toe heel knee bicycle ankle,foot cross,sink ice bill phoenix paste shot,eye straw ground field pyramid note fall lemon platypus,key chocolate horn spine boom wind,slip
4,blouse skirt strapless gown sleeveless lace frock corset chiffon satin,dress slip,light ship lab shop thief press,opera cold turkey mouse dance yard plot revolution head,tag robin straw roulette board arm,scale
5,School graduate education curriculum student academic teaching educational curricula undergraduate,well school,pitch board princess string cross pit,nail wind plate slug spy fall cliff foot king,ivory key center code net jet,jack
6,situated acre adjacent kilometer distance rectangular cubic approximately floor adjoining,square ground,oil fork kangaroo microscope cover log,roulette kiwi comic cap turkey head cold cotton check,engine force ship fair shadow worm,fence
7,suicide coroner deceased illness autopsy psychiatric inpatient funeral homicide mortality,death hospital,lion diamond ice bond cross litter,microscope china fence casino jet line horse card hood,court cover satellite moon cross pitch,tooth
8,porcelain ceramic frosted earthenware enamel plating pewter stoneware acrylic tray,glass plate,draft eye phoenix trip space game,pilot rock tag dwarf turkey space paste slug degree,worm concert fish file millionaire line,tap
9,syntax parse integer append parameter compiler overwrite compile serialization error,bug string,hole plot pound copper sock organ,forest leprechaun shark bridge wall soul dice state phoenix,dragon washer parachute belt bark date,canada
10,road parade walk hill plaza north south west east campground,park pit march,fly oil lab cricket shadow,maple robot superhero compound ivory square horse tie mass,bar band missile honey draft carrot,nut
11,flange axle lug cocking cleat threaded slotted pulley crossbar lever,bolt ball,compound chocolate eye bank water canada,phoenix model shadow agent olive lab ring time drop,thumb plane water wake slip plate,pole
12,vision gaze right obvious perspective goal thought clearly seeing reflection,cross point eye,temple pole casino nurse space,deck pit film engine bar beach cover copper charge,hook whip honey roulette hole water,track
13,appellate upheld counsel tribunal judicial jury adjudication judge Judge prosecution,court fair,eye bill luck box hawk conductor,train ship buffalo day spike hood fair cold thumb,platypus gold ambulance satellite fighter space,mammoth
14,swung uphill sway stepping swaying leftward momentum spin rightward farther,swing ground,game pants pumpkin police knight web,ivory calf drill draft match table plate grass game,band bridge concert heart buffalo shadow,berry
